"Session Names","Baseline Mean","Cutting Mean","Suturing Mean"
"Session1",0.0135702449326218,0.00764856297268488,0.00793605442331004
"Session2",0.0126022660033297,0.00654650009943282,0.00776206334471474
"Session3",0.00728423397680454,0.00834257322198404,0.00755664677448097
"Session4",0.00647996583216498,0.00654713248972916,0.00578380230353384
"Session5",0.00670141755104866,0.00612821440956371,0.00588983752282066
