s_id.label,subject.label,session.label,task.label,meanData,Score1,Score2
12,subject12,Session 2,Suturing,0.00684951,15,16
12,subject12,Session 3,Cutting,0.008561239,23,25
12,subject12,Session 3,Suturing,0.008620974,18,20
12,subject12,Session 4,Cutting,0.009219518,27,25
12,subject12,Session 4,Suturing,0.008775202,20,22
12,subject12,Session 5,Cutting,0.009830742,28,24
12,subject12,Session 5,Suturing,0.007904935,24,21
13,subject13,Session 1,Cutting,0.006514194,18,19
13,subject13,Session 1,Suturing,0.00655794,13,15
13,subject13,Session 2,Cutting,0.005741809,17,20
13,subject13,Session 2,Suturing,0.006327294,16,15
13,subject13,Session 3,Cutting,0.005092271,25,23
13,subject13,Session 3,Suturing,0.004679217,19,19
13,subject13,Session 4,Cutting,0.004842727,25,22
13,subject13,Session 4,Suturing,0.005303931,17,18
13,subject13,Session 5,Cutting,0.007661869,29,25
13,subject13,Session 5,Suturing,0.008613481,19,17
19,subject19,Session 1,Cutting,0.007082172,19,20
19,subject19,Session 1,Suturing,0.003377408,12,16
19,subject19,Session 2,Cutting,0.007673489,23,24
19,subject19,Session 2,Suturing,0.006350764,22,24
19,subject19,Session 3,Cutting,0.008039198,24,26
19,subject19,Session 3,Suturing,0.00665644,23,27
19,subject19,Session 4,Cutting,0.007106913,27,27
19,subject19,Session 4,Suturing,0.007715197,25,24
19,subject19,Session 5,Cutting,0.008316978,27,28
19,subject19,Session 5,Suturing,0.008229919,27,27
20,subject20,Session 1,Cutting,0.005955645,,
20,subject20,Session 1,Suturing,0.006598203,,
20,subject20,Session 2,Cutting,,,
20,subject20,Session 2,Suturing,,,
20,subject20,Session 3,Cutting,,,
20,subject20,Session 3,Suturing,,,
20,subject20,Session 4,Cutting,,,
20,subject20,Session 4,Suturing,,,
20,subject20,Session 5,Cutting,,,
20,subject20,Session 5,Suturing,,,
21,subject21,Session 1,Cutting,0.006957866,20,18
21,subject21,Session 1,Suturing,0.007120722,13,17
21,subject21,Session 2,Cutting,0.009289895,24,21
21,subject21,Session 2,Suturing,0.008347064,17,19
21,subject21,Session 3,Cutting,0.008016287,26,24
21,subject21,Session 3,Suturing,0.010541592,18,16
21,subject21,Session 4,Cutting,0.007349012,28,22
21,subject21,Session 4,Suturing,0.010517984,24,23
21,subject21,Session 5,Cutting,0.008990092,25,26
21,subject21,Session 5,Suturing,0.01114313,25,22
22,subject22,Session 1,Cutting,0.009351959,16,14
22,subject22,Session 1,Suturing,0.011385123,16,12
22,subject22,Session 2,Cutting,0.008766771,22,21
22,subject22,Session 2,Suturing,0.009510327,23,22
22,subject22,Session 3,Cutting,0.008239999,23,24
22,subject22,Session 3,Suturing,0.008093807,23,26
22,subject22,Session 4,Cutting,0.007938335,26,25
22,subject22,Session 4,Suturing,0.008524576,24,24
22,subject22,Session 5,Cutting,0.006851448,26,24
22,subject22,Session 5,Suturing,0.007624814,26,20
23,subject23,Session 1,Cutting,0.006504527,,
23,subject23,Session 1,Suturing,0.006131348,,
23,subject23,Session 2,Cutting,0.007097658,,
23,subject23,Session 2,Suturing,,,
23,subject23,Session 3,Cutting,0.007884488,,
23,subject23,Session 3,Suturing,0.006579901,,
23,subject23,Session 4,Cutting,,,
23,subject23,Session 4,Suturing,,,
23,subject23,Session 5,Cutting,,,
23,subject23,Session 5,Suturing,,,
24,subject24,Session 1,Cutting,0.006267209,17,14
24,subject24,Session 1,Suturing,0.00626996,21,20
24,subject24,Session 2,Cutting,0.007472633,25,23
24,subject24,Session 2,Suturing,0.007136204,22,22
24,subject24,Session 3,Cutting,0.008025719,25,23
24,subject24,Session 3,Suturing,0.008502087,24,22
24,subject24,Session 4,Cutting,0.007794351,25,29
24,subject24,Session 4,Suturing,0.008695699,23,22
24,subject24,Session 5,Cutting,0.007302603,22,24
24,subject24,Session 5,Suturing,0.006531594,23,20
25,subject25,Session 1,Cutting,0.006552536,,
25,subject25,Session 1,Suturing,0.007482451,,
25,subject25,Session 2,Cutting,0.006983324,,
25,subject25,Session 2,Suturing,0.007595096,,
25,subject25,Session 3,Cutting,,,
25,subject25,Session 3,Suturing,,,
25,subject25,Session 4,Cutting,,,
25,subject25,Session 4,Suturing,,,
25,subject25,Session 5,Cutting,,,
25,subject25,Session 5,Suturing,,,
26,subject26,Session 1,Cutting,0.00639046,10,12
26,subject26,Session 1,Suturing,0.006662353,15,15
26,subject26,Session 2,Cutting,0.004893281,24,25
26,subject26,Session 2,Suturing,0.00541403,24,25
26,subject26,Session 3,Cutting,0.005862512,27,22
26,subject26,Session 3,Suturing,0.005811156,23,25
26,subject26,Session 4,Cutting,0.004866012,27,24
26,subject26,Session 4,Suturing,0.005160709,25,20
26,subject26,Session 5,Cutting,0.005545815,26,25
26,subject26,Session 5,Suturing,0.005461965,27,27
