"Frame.","Time","Perspiration"
0,0,0.00715303336911488
1,0.123837001621723,0.00712960325565391
2,0.258702009916306,0.00710068666807598
3,0.392059803009033,0.00706568922919377
4,0.532529175281525,0.00702420633362972
6,0.658391892910004,0.00697609079988601
7,0.796763598918915,0.0069215030445158
11,1.20830416679382,0.00686093053783542
12,1.33013701438904,0.00679516602023253
13,1.47101724147797,0.0067252415818585
15,1.72772014141083,0.00665232723296679
16,1.87211155891418,0.00657761454812927
17,2.00947976112366,0.00650221337466559
18,2.02652549743652,0.00642708814353022
19,2.13231372833252,0.00635304892212519
20,2.26116275787354,0.00628079447840334
21,2.39804887771606,0.00621098721843504
22,2.52762603759766,0.00614433006409095
23,2.66600108146667,0.00608161692880143
24,2.79700207710266,0.00602373997422318
25,2.92735362052917,0.00597165254046004
26,3.0607168674469,0.00592629966680273
27,3.19461417198181,0.00588853404710525
28,3.32958388328552,0.00585903403437244
30,3.46082210540771,0.0058382353555243
31,3.59580087661743,0.00582628358625963
33,3.86157202720642,0.005823012129986
34,3.99643707275391,0.00582794955004695
35,4.12986946105957,0.00584035827881738
36,4.26285457611084,0.00585930235667533
37,4.3962140083313,0.00588373542820905
38,4.53113317489624,0.00591259421617451
39,4.66268730163574,0.0059448801613856
40,4.79704856872559,0.00597971464527318
41,4.93307018280029,0.00601636057207954
42,5.06265640258789,0.00605421236100043
43,5.19677448272705,0.0060927642787849
44,5.36787414550781,0.00613157124762094
45,5.46647453308105,0.00617021634735783
46,5.60300636291504,0.00620829629302961
47,5.73150396347046,0.00624543166320936
48,5.86404705047607,0.00628130317389577
50,6.00907278060913,0.00631570852848752
51,6.14845514297485,0.00634862661092322
53,6.26476955413818,0.00638026945357754
54,6.39913177490234,0.00641110155243953
56,6.5314884185791,0.00644181345474494
57,6.66462469100952,0.00647325050861699
58,6.80500173568726,0.00650631216450758
59,6.93134260177612,0.00654184513950573
60,7.06571435928345,0.0065805515190159
61,7.19806957244873,0.00662292264356938
62,7.33243179321289,0.00666919765202856
63,7.46479225158691,0.00671933814598016
64,7.5981502532959,0.00677301059653564
65,7.73451709747314,0.00682957442896238
66,7.86487245559692,0.00688808155978088
67,7.99923467636108,0.0069472972231971
68,8.13126468658447,0.00700574926677397
69,8.26462650299072,0.00706180519987431
70,8.4047737121582,0.00711376835314786
71,8.53311729431152,0.00715998174901378
72,8.66651439666748,0.00719893163388373
73,8.80763053894043,0.00722934779698763
74,8.93396949768066,0.00725029886495622
75,9.06733226776123,0.00726127540993469
76,9.20045471191406,0.00726224565894005
77,9.34021377563477,0.00725366497978625
78,9.47021579742432,0.00723642620097048
79,9.60443592071533,0.00721175214122852
80,9.73373985290527,0.00718104780327231
81,9.86810684204102,0.00714573978793418
82,10.0044727325439,0.00710713086684251
83,10.1375246047974,0.00706629031558351
